img_path,img_name,NoDamage,Crack,Efflorescence,Rust,Spalling,BarsExposed,CLASSES_STRING,CLASSES_N,split_type,name
dacl1k/dacl1k/v1/14_001915.jpg,14_001915.jpg,0,0,0,1,0,0,R,1,train,dacl1k
dacl1k/dacl1k/v1/06_000043.jpg,06_000043.jpg,1,0,0,0,0,0,N,1,train,dacl1k
dacl1k/dacl1k/v1/17_000084.jpg,17_000084.jpg,1,0,0,0,0,0,N,1,train,dacl1k
dacl1k/dacl1k/v1/06_000213.jpg,06_000213.jpg,0,0,0,1,0,0,R,1,train,dacl1k
dacl1k/dacl1k/v1/06_000223.jpg,06_000223.jpg,0,1,0,0,0,0,C,1,train,dacl1k
dacl1k/dacl1k/v1/16_000009.jpg,16_000009.jpg,0,0,0,1,1,1,BSR,3,train,dacl1k
dacl1k/dacl1k/v1/14_001267.jpg,14_001267.jpg,0,0,0,1,0,0,R,1,train,dacl1k
dacl1k/dacl1k/v1/14_001197.jpg,14_001197.jpg,0,1,0,0,0,0,C,1,train,dacl1k
dacl1k/dacl1k/v1/06_000419.jpg,06_000419.jpg,0,1,1,0,0,0,CE,2,train,dacl1k
dacl1k/dacl1k/v1/14_001752.jpg,14_001752.jpg,0,0,0,1,0,0,R,1,train,dacl1k
dacl1k/dacl1k/v1/14_000198.jpg,14_000198.jpg,0,0,0,1,1,0,SR,2,train,dacl1k
dacl1k/dacl1k/v1/17_000035.jpg,17_000035.jpg,1,0,0,0,0,0,N,1,train,dacl1k
dacl1k/dacl1k/v1/06_000162.jpg,06_000162.jpg,0,1,1,0,0,0,CE,2,train,dacl1k
dacl1k/dacl1k/v1/14_001807.jpg,14_001807.jpg,0,0,0,1,0,0,R,1,train,dacl1k
dacl1k/dacl1k/v1/06_000053.jpg,06_000053.jpg,1,0,0,0,0,0,N,1,train,dacl1k
dacl1k/dacl1k/v1/06_000021.jpg,06_000021.jpg,1,0,0,0,0,0,N,1,train,dacl1k
dacl1k/dacl1k/v1/14_001155.jpg,14_001155.jpg,0,0,0,1,0,0,R,1,train,dacl1k
dacl1k/dacl1k/v1/06_000325.jpg,06_000325.jpg,0,0,1,0,0,0,E,1,train,dacl1k
dacl1k/dacl1k/v1/14_000051.jpg,14_000051.jpg,0,1,0,0,1,0,CS,2,train,dacl1k
dacl1k/dacl1k/v1/16_000331.jpg,16_000331.jpg,0,0,0,1,1,1,BSR,3,train,dacl1k
dacl1k/dacl1k/v1/14_001551.jpg,14_001551.jpg,0,0,0,0,1,0,S,1,train,dacl1k
dacl1k/dacl1k/v1/14_001936.jpg,14_001936.jpg,0,0,0,1,0,0,R,1,train,dacl1k
dacl1k/dacl1k/v1/14_001367.jpg,14_001367.jpg,0,0,0,1,0,0,R,1,train,dacl1k
dacl1k/dacl1k/v1/16_000156.jpg,16_000156.jpg,0,0,0,1,1,1,BSR,3,train,dacl1k
dacl1k/dacl1k/v1/06_000032.jpg,06_000032.jpg,1,0,0,0,0,0,N,1,train,dacl1k
dacl1k/dacl1k/v1/14_001360.jpg,14_001360.jpg,0,0,0,1,0,0,R,1,train,dacl1k
dacl1k/dacl1k/v1/14_001386.jpg,14_001386.jpg,0,0,1,0,0,0,E,1,train,dacl1k
dacl1k/dacl1k/v1/14_001925.jpg,14_001925.jpg,0,0,0,0,1,0,S,1,train,dacl1k
dacl1k/dacl1k/v1/14_001387.jpg,14_001387.jpg,0,0,1,1,0,0,ER,2,train,dacl1k
dacl1k/dacl1k/v1/06_000035.jpg,06_000035.jpg,1,0,0,0,0,0,N,1,train,dacl1k
dacl1k/dacl1k/v1/16_000316.jpg,16_000316.jpg,0,0,0,1,1,1,BSR,3,train,dacl1k
dacl1k/dacl1k/v1/14_001507.jpg,14_001507.jpg,0,0,0,1,1,1,BSR,3,train,dacl1k
dacl1k/dacl1k/v1/06_000278.jpg,06_000278.jpg,0,0,0,1,0,0,R,1,train,dacl1k
dacl1k/dacl1k/v1/14_001434.jpg,14_001434.jpg,0,0,0,1,0,0,R,1,train,dacl1k
dacl1k/dacl1k/v1/14_000091.jpg,14_000091.jpg,0,0,0,1,1,0,SR,2,train,dacl1k
dacl1k/dacl1k/v1/17_000083.jpg,17_000083.jpg,1,0,0,0,0,0,N,1,train,dacl1k
dacl1k/dacl1k/v1/16_000078.jpg,16_000078.jpg,0,0,0,1,1,0,SR,2,train,dacl1k
dacl1k/dacl1k/v1/14_001449.jpg,14_001449.jpg,0,1,0,0,0,0,C,1,train,dacl1k
dacl1k/dacl1k/v1/14_001582.jpg,14_001582.jpg,0,1,0,0,0,0,C,1,train,dacl1k
dacl1k/dacl1k/v1/16_000175.jpg,16_000175.jpg,0,1,0,1,0,0,CR,2,train,dacl1k
dacl1k/dacl1k/v1/14_001669.jpg,14_001669.jpg,0,0,0,1,0,0,R,1,train,dacl1k
dacl1k/dacl1k/v1/14_001260.jpg,14_001260.jpg,1,0,0,0,0,0,N,1,train,dacl1k
dacl1k/dacl1k/v1/14_001290.jpg,14_001290.jpg,1,0,0,0,0,0,N,1,train,dacl1k
dacl1k/dacl1k/v1/14_001768.jpg,14_001768.jpg,0,1,0,0,0,0,C,1,train,dacl1k
dacl1k/dacl1k/v1/06_000240.jpg,06_000240.jpg,0,1,0,0,1,0,CS,2,train,dacl1k
dacl1k/dacl1k/v1/14_001977.jpg,14_001977.jpg,0,0,1,0,0,0,E,1,train,dacl1k
dacl1k/dacl1k/v1/14_001716.jpg,14_001716.jpg,0,0,0,1,0,0,R,1,train,dacl1k
dacl1k/dacl1k/v1/14_001764.jpg,14_001764.jpg,0,0,0,1,0,0,R,1,train,dacl1k
dacl1k/dacl1k/v1/17_000022.jpg,17_000022.jpg,1,0,0,0,0,0,N,1,train,dacl1k
dacl1k/dacl1k/v1/14_001954.jpg,14_001954.jpg,0,0,0,0,1,0,S,1,train,dacl1k
dacl1k/dacl1k/v1/14_001207.jpg,14_001207.jpg,0,0,0,0,1,0,S,1,train,dacl1k
dacl1k/dacl1k/v1/16_000043.jpg,16_000043.jpg,0,0,0,0,1,0,S,1,train,dacl1k
dacl1k/dacl1k/v1/16_000004.jpg,16_000004.jpg,0,0,0,1,1,1,BSR,3,train,dacl1k
dacl1k/dacl1k/v1/14_001806.jpg,14_001806.jpg,0,0,0,1,1,0,SR,2,train,dacl1k
dacl1k/dacl1k/v1/06_000229.jpg,06_000229.jpg,0,0,1,0,1,0,ES,2,train,dacl1k
dacl1k/dacl1k/v1/06_000195.jpg,06_000195.jpg,0,0,1,0,0,0,E,1,train,dacl1k
dacl1k/dacl1k/v1/14_001274.jpg,14_001274.jpg,0,0,0,1,0,0,R,1,train,dacl1k
dacl1k/dacl1k/v1/14_001373.jpg,14_001373.jpg,0,0,1,0,0,0,E,1,train,dacl1k
dacl1k/dacl1k/v1/17_000093.jpg,17_000093.jpg,1,0,0,0,0,0,N,1,train,dacl1k
dacl1k/dacl1k/v1/14_000048.jpg,14_000048.jpg,0,0,0,1,0,0,R,1,train,dacl1k
dacl1k/dacl1k/v1/14_001253.jpg,14_001253.jpg,0,0,0,1,0,0,R,1,train,dacl1k
dacl1k/dacl1k/v1/14_001717.jpg,14_001717.jpg,0,0,0,1,0,0,R,1,train,dacl1k
dacl1k/dacl1k/v1/16_000038.jpg,16_000038.jpg,0,0,0,1,1,0,SR,2,train,dacl1k
dacl1k/dacl1k/v1/14_001246.jpg,14_001246.jpg,0,0,0,0,1,0,S,1,train,dacl1k
dacl1k/dacl1k/v1/14_001964.jpg,14_001964.jpg,0,1,0,0,0,0,C,1,train,dacl1k
dacl1k/dacl1k/v1/14_001417.jpg,14_001417.jpg,0,0,0,1,0,0,R,1,train,dacl1k
dacl1k/dacl1k/v1/14_001057.jpg,14_001057.jpg,1,0,0,0,0,0,N,1,train,dacl1k
dacl1k/dacl1k/v1/17_000099.jpg,17_000099.jpg,1,0,0,0,0,0,N,1,train,dacl1k
dacl1k/dacl1k/v1/06_000333.jpg,06_000333.jpg,1,0,0,0,0,0,N,1,train,dacl1k
dacl1k/dacl1k/v1/14_000101.jpg,14_000101.jpg,0,0,0,1,1,1,BSR,3,train,dacl1k
dacl1k/dacl1k/v1/14_001444.jpg,14_001444.jpg,0,1,0,0,0,0,C,1,train,dacl1k
dacl1k/dacl1k/v1/14_001279.jpg,14_001279.jpg,0,0,0,0,1,0,S,1,train,dacl1k
dacl1k/dacl1k/v1/16_000209.jpg,16_000209.jpg,0,0,0,1,1,1,BSR,3,train,dacl1k
dacl1k/dacl1k/v1/06_000340.jpg,06_000340.jpg,0,0,1,0,0,0,E,1,train,dacl1k
dacl1k/dacl1k/v1/06_000436.jpg,06_000436.jpg,0,1,1,0,1,0,CES,3,train,dacl1k
