img_name,img_path,name,split_type,NoDamage,Crack,Efflorescence,Spalling,BarsExposed,Rust,CLASSES_STRING,CLASSES_N
1.jpg,bcd/1.jpg,bcd,train,1,0,0,0,0,0,N,1
2.jpg,bcd/2.jpg,bcd,train,1,0,0,0,0,0,N,1
3.jpg,bcd/3.jpg,bcd,train,1,0,0,0,0,0,N,1
4.jpg,bcd/4.jpg,bcd,train,1,0,0,0,0,0,N,1
5.jpg,bcd/5.jpg,bcd,train,1,0,0,0,0,0,N,1
6.jpg,bcd/6.jpg,bcd,train,1,0,0,0,0,0,N,1
7.jpg,bcd/7.jpg,bcd,train,1,0,0,0,0,0,N,1
8.jpg,bcd/8.jpg,bcd,train,1,0,0,0,0,0,N,1
9.jpg,bcd/9.jpg,bcd,train,1,0,0,0,0,0,N,1
10.jpg,bcd/10.jpg,bcd,val,1,0,0,0,0,0,N,1
11.jpg,bcd/11.jpg,bcd,train,1,0,0,0,0,0,N,1
12.jpg,bcd/12.jpg,bcd,train,1,0,0,0,0,0,N,1
13.jpg,bcd/13.jpg,bcd,train,1,0,0,0,0,0,N,1
14.jpg,bcd/14.jpg,bcd,train,1,0,0,0,0,0,N,1
15.jpg,bcd/15.jpg,bcd,train,1,0,0,0,0,0,N,1
16.jpg,bcd/16.jpg,bcd,train,1,0,0,0,0,0,N,1
17.jpg,bcd/17.jpg,bcd,test,1,0,0,0,0,0,N,1
18.jpg,bcd/18.jpg,bcd,train,1,0,0,0,0,0,N,1
19.jpg,bcd/19.jpg,bcd,val,1,0,0,0,0,0,N,1
20.jpg,bcd/20.jpg,bcd,train,1,0,0,0,0,0,N,1
21.jpg,bcd/21.jpg,bcd,train,1,0,0,0,0,0,N,1
22.jpg,bcd/22.jpg,bcd,train,1,0,0,0,0,0,N,1
23.jpg,bcd/23.jpg,bcd,train,1,0,0,0,0,0,N,1
24.jpg,bcd/24.jpg,bcd,train,1,0,0,0,0,0,N,1
25.jpg,bcd/25.jpg,bcd,train,1,0,0,0,0,0,N,1
26.jpg,bcd/26.jpg,bcd,train,1,0,0,0,0,0,N,1
27.jpg,bcd/27.jpg,bcd,train,1,0,0,0,0,0,N,1
28.jpg,bcd/28.jpg,bcd,train,1,0,0,0,0,0,N,1
29.jpg,bcd/29.jpg,bcd,val,1,0,0,0,0,0,N,1
30.jpg,bcd/30.jpg,bcd,train,1,0,0,0,0,0,N,1
31.jpg,bcd/31.jpg,bcd,train,1,0,0,0,0,0,N,1
32.jpg,bcd/32.jpg,bcd,train,1,0,0,0,0,0,N,1
33.jpg,bcd/33.jpg,bcd,train,1,0,0,0,0,0,N,1
34.jpg,bcd/34.jpg,bcd,train,1,0,0,0,0,0,N,1
35.jpg,bcd/35.jpg,bcd,train,1,0,0,0,0,0,N,1
36.jpg,bcd/36.jpg,bcd,train,1,0,0,0,0,0,N,1
37.jpg,bcd/37.jpg,bcd,val,1,0,0,0,0,0,N,1
38.jpg,bcd/38.jpg,bcd,train,1,0,0,0,0,0,N,1
39.jpg,bcd/39.jpg,bcd,train,1,0,0,0,0,0,N,1
40.jpg,bcd/40.jpg,bcd,train,1,0,0,0,0,0,N,1
41.jpg,bcd/41.jpg,bcd,train,1,0,0,0,0,0,N,1
42.jpg,bcd/42.jpg,bcd,test,1,0,0,0,0,0,N,1
43.jpg,bcd/43.jpg,bcd,train,1,0,0,0,0,0,N,1
44.jpg,bcd/44.jpg,bcd,train,1,0,0,0,0,0,N,1
45.jpg,bcd/45.jpg,bcd,train,1,0,0,0,0,0,N,1
46.jpg,bcd/46.jpg,bcd,train,1,0,0,0,0,0,N,1
47.jpg,bcd/47.jpg,bcd,train,1,0,0,0,0,0,N,1
48.jpg,bcd/48.jpg,bcd,train,1,0,0,0,0,0,N,1
49.jpg,bcd/49.jpg,bcd,train,1,0,0,0,0,0,N,1
50.jpg,bcd/50.jpg,bcd,train,1,0,0,0,0,0,N,1
51.jpg,bcd/51.jpg,bcd,train,1,0,0,0,0,0,N,1
52.jpg,bcd/52.jpg,bcd,train,1,0,0,0,0,0,N,1
53.jpg,bcd/53.jpg,bcd,train,1,0,0,0,0,0,N,1
54.jpg,bcd/54.jpg,bcd,train,1,0,0,0,0,0,N,1
55.jpg,bcd/55.jpg,bcd,test,1,0,0,0,0,0,N,1
56.jpg,bcd/56.jpg,bcd,train,1,0,0,0,0,0,N,1
57.jpg,bcd/57.jpg,bcd,train,1,0,0,0,0,0,N,1
58.jpg,bcd/58.jpg,bcd,train,1,0,0,0,0,0,N,1
59.jpg,bcd/59.jpg,bcd,train,1,0,0,0,0,0,N,1
60.jpg,bcd/60.jpg,bcd,train,1,0,0,0,0,0,N,1
61.jpg,bcd/61.jpg,bcd,train,1,0,0,0,0,0,N,1
62.jpg,bcd/62.jpg,bcd,train,1,0,0,0,0,0,N,1
63.jpg,bcd/63.jpg,bcd,train,1,0,0,0,0,0,N,1
64.jpg,bcd/64.jpg,bcd,train,1,0,0,0,0,0,N,1
65.jpg,bcd/65.jpg,bcd,train,1,0,0,0,0,0,N,1
66.jpg,bcd/66.jpg,bcd,test,1,0,0,0,0,0,N,1
67.jpg,bcd/67.jpg,bcd,train,1,0,0,0,0,0,N,1
68.jpg,bcd/68.jpg,bcd,train,1,0,0,0,0,0,N,1
69.jpg,bcd/69.jpg,bcd,train,1,0,0,0,0,0,N,1
70.jpg,bcd/70.jpg,bcd,train,1,0,0,0,0,0,N,1
71.jpg,bcd/71.jpg,bcd,train,1,0,0,0,0,0,N,1
72.jpg,bcd/72.jpg,bcd,train,1,0,0,0,0,0,N,1
73.jpg,bcd/73.jpg,bcd,train,1,0,0,0,0,0,N,1
74.jpg,bcd/74.jpg,bcd,val,1,0,0,0,0,0,N,1
75.jpg,bcd/75.jpg,bcd,val,1,0,0,0,0,0,N,1
76.jpg,bcd/76.jpg,bcd,train,1,0,0,0,0,0,N,1
77.jpg,bcd/77.jpg,bcd,train,1,0,0,0,0,0,N,1
78.jpg,bcd/78.jpg,bcd,val,1,0,0,0,0,0,N,1
79.jpg,bcd/79.jpg,bcd,val,1,0,0,0,0,0,N,1
80.jpg,bcd/80.jpg,bcd,train,1,0,0,0,0,0,N,1
81.jpg,bcd/81.jpg,bcd,train,1,0,0,0,0,0,N,1
82.jpg,bcd/82.jpg,bcd,train,1,0,0,0,0,0,N,1
83.jpg,bcd/83.jpg,bcd,val,1,0,0,0,0,0,N,1
84.jpg,bcd/84.jpg,bcd,train,1,0,0,0,0,0,N,1
85.jpg,bcd/85.jpg,bcd,train,1,0,0,0,0,0,N,1
86.jpg,bcd/86.jpg,bcd,val,1,0,0,0,0,0,N,1
87.jpg,bcd/87.jpg,bcd,train,1,0,0,0,0,0,N,1
88.jpg,bcd/88.jpg,bcd,train,1,0,0,0,0,0,N,1
